,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
2921,,California,,No,Basic,College,1/7/11,Employed,F,62447.0,Rural,Single,74.0,9.0,2.0,0.0,7.0,Personal Auto,Personal L3,Offer4,Call Center,133.977857,Two-Door Car,Medsize
2922,GL32197,Oregon,5068.264582,No,Basic,College,2/7/11,Employed,M,31475.0,Rural,Married,,,3.0,1.0,3.0,Personal Auto,Personal L2,Offer3,Call Center,22.962412,Four-Door Car,Medsize
2923,SC11374,Nevada,8797.829644,No,Basic,College,2/28/11,Employed,F,80780.0,Rural,Married,109.0,26.0,11.0,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,3.55,SUV,Medsize
2924,RT29777,Oregon,4439.900652,,Basic,Bachelor,2/12/11,Employed,F,88613.0,Urban,Divorced,111.0,5.0,59.0,0.0,,Personal Auto,Personal L3,Offer1,Branch,,SUV,
2925,OB73235,,2404.459452,No,,College,2/11/11,,M,45949.0,Rural,Single,62.0,0.0,70.0,,1.0,Corporate Auto,Corporate L3,,Agent,,Two-Door Car,Medsize
2926,MV41462,Arizona,5066.634057,No,,,1/13/11,Employed,,35596.0,Suburban,,64.0,11.0,92.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Agent,307.2,Two-Door Car,
2927,FM67585,California,5890.528762,No,Basic,High School or Below,1/15/11,Employed,M,76875.0,Rural,Married,73.0,21.0,4.0,,9.0,,Personal L3,Offer3,Agent,17.375878,Four-Door Car,Medsize
2928,KG57925,California,2410.498573,No,Basic,Bachelor,1/16/11,Employed,M,41842.0,,,61.0,1.0,14.0,0.0,1.0,,Corporate L3,,Call Center,292.8,Two-Door Car,Medsize
2929,IY24560,California,5288.240125,No,Basic,Bachelor,2/11/11,Medical Leave,M,,Suburban,Married,,27.0,9.0,1.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,Medsize
2930,BV33510,Arizona,26413.54751,No,Extended,High School or Below,2/24/11,Employed,,24631.0,Suburban,Married,83.0,25.0,87.0,1.0,2.0,,Personal L3,Offer2,Web,398.4,Four-Door Car,
2931,XA77673,Nevada,16236.47626,No,Basic,College,1/6/11,Unemployed,F,0.0,Suburban,,,24.0,54.0,,2.0,Personal Auto,Personal L2,Offer2,Branch,680.753091,Four-Door Car,Medsize
2932,XN90861,Arizona,5534.576395,No,Basic,Bachelor,1/5/11,Employed,F,71560.0,Urban,Married,69.0,,46.0,0.0,5.0,Personal Auto,Personal L1,Offer2,Web,178.700204,Two-Door Car,Medsize
2933,WS84995,Nevada,9202.638441,No,Extended,Master,1/25/11,Unemployed,M,0.0,Suburban,Married,80.0,8.0,71.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,384.0,Four-Door Car,Medsize
2934,ZZ49347,Oregon,,Yes,,High School or Below,1/2/11,Employed,M,72421.0,Suburban,Married,,8.0,23.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Small
2935,XX85323,,8019.856041,No,Premium,Master,2/7/11,Employed,,54702.0,Suburban,Married,199.0,5.0,42.0,,1.0,Personal Auto,Personal L3,Offer4,Agent,955.2,SUV,Medsize
2936,JO64487,California,6943.741598,No,Extended,High School or Below,2/24/11,Unemployed,F,0.0,Suburban,Single,76.0,,43.0,5.0,2.0,Special Auto,,Offer1,Agent,547.2,Four-Door Car,Large
2937,TO55363,Oregon,13367.86562,No,Basic,High School or Below,1/28/11,Employed,F,57335.0,,Married,67.0,22.0,18.0,0.0,2.0,Personal Auto,Personal L1,Offer4,Agent,407.887715,,Medsize
2938,UE67791,Arizona,,No,Basic,College,1/9/11,Unemployed,M,0.0,Suburban,Single,67.0,9.0,20.0,3.0,,Personal Auto,Personal L3,Offer1,Agent,,Two-Door Car,Medsize
2939,JN69287,California,3479.760165,No,Extended,High School or Below,1/8/11,Employed,M,35033.0,Suburban,,87.0,26.0,53.0,0.0,,Personal Auto,Personal L2,Offer1,Agent,490.638202,Two-Door Car,Small
2940,AT55072,Arizona,9103.8997,No,Premium,College,,,M,65733.0,Suburban,Married,,13.0,6.0,0.0,3.0,Personal Auto,Personal L2,Offer2,Agent,684.948527,Four-Door Car,Medsize
2941,LV34368,California,4813.284447,No,Basic,Bachelor,2/27/11,Unemployed,,0.0,Suburban,Single,69.0,30.0,44.0,0.0,3.0,,Special L3,Offer1,,,Four-Door Car,
2942,QU40939,Arizona,9575.7578,No,Extended,College,2/6/11,Unemployed,,0.0,,Single,88.0,3.0,64.0,0.0,2.0,Personal Auto,Personal L3,,Web,633.6,,Medsize
2943,IP94270,Arizona,13736.1325,Yes,,Master,2/13/11,,F,16181.0,Suburban,Divorced,181.0,22.0,79.0,0.0,8.0,Personal Auto,Personal L2,,Web,1261.319869,SUV,Medsize
2944,KW33804,Nevada,8090.884414,No,Basic,High School or Below,1/3/11,Employed,M,86180.0,Rural,Divorced,69.0,11.0,43.0,4.0,2.0,Personal Auto,Personal L1,Offer4,Branch,48.051339,Four-Door Car,Large
2945,IA42992,Arizona,8267.119555,No,Basic,High School or Below,1/19/11,Employed,M,36881.0,Suburban,Married,104.0,5.0,25.0,0.0,3.0,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize
2946,,Oregon,2489.16729,No,Basic,High School or Below,1/26/11,,F,47888.0,,Single,64.0,23.0,16.0,,1.0,Personal Auto,Personal L1,Offer1,Web,,,Small
2947,EN54716,Oregon,2395.57,Yes,Basic,,1/27/11,Disabled,F,21986.0,Suburban,Divorced,,1.0,9.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Branch,333.696228,Two-Door Car,Medsize
2948,UF27940,Washington,3863.309585,No,Basic,College,1/17/11,,F,,Suburban,Married,100.0,3.0,65.0,3.0,1.0,Corporate Auto,Corporate L3,Offer2,Call Center,480.0,SUV,
2949,,Oregon,5173.485319,No,Basic,College,1/22/11,Unemployed,F,0.0,Suburban,Married,69.0,30.0,69.0,0.0,,Personal Auto,Personal L2,Offer1,Call Center,331.2,Four-Door Car,Medsize
2950,XI52305,California,4984.618655,,Basic,Bachelor,1/11/11,Employed,M,86305.0,Rural,,62.0,1.0,99.0,0.0,5.0,Personal Auto,Personal L3,Offer2,Call Center,80.73124,,Medsize
2951,HZ25580,Washington,2396.192355,No,Basic,High School or Below,1/31/11,Employed,F,39062.0,Suburban,Divorced,61.0,,20.0,0.0,1.0,Corporate Auto,Corporate L3,,Agent,346.991025,Two-Door Car,Medsize
2952,JY97451,California,2631.87754,No,Basic,College,1/8/11,Disabled,F,16976.0,Urban,Married,69.0,23.0,54.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,238.952528,Four-Door Car,Medsize
2953,US78266,California,6993.838856,No,Basic,High School or Below,1/22/11,Unemployed,F,0.0,Suburban,Single,65.0,29.0,35.0,2.0,,Corporate Auto,Corporate L2,Offer1,Call Center,468.0,Four-Door Car,Medsize
2954,SX25962,Arizona,15055.53836,No,Basic,College,2/18/11,Employed,M,83283.0,Rural,,,11.0,46.0,1.0,3.0,Personal Auto,Personal L2,Offer3,Branch,273.702709,Luxury Car,
2955,XQ12791,California,3401.881747,No,Extended,High School or Below,,,M,41972.0,Suburban,Divorced,86.0,20.0,23.0,0.0,1.0,,Personal L3,Offer2,Branch,691.709371,Four-Door Car,Medsize
2956,EU59853,California,4126.61326,,Premium,College,2/20/11,Employed,M,34080.0,Rural,,107.0,11.0,,1.0,1.0,Personal Auto,Personal L3,Offer4,Branch,220.644418,Four-Door Car,Medsize
2957,QR21417,California,4462.997006,Yes,Basic,Bachelor,1/30/11,Unemployed,F,,,,73.0,35.0,52.0,3.0,,Corporate Auto,Corporate L3,Offer1,Web,350.4,,Medsize
2958,CI27304,California,9320.090224,No,Extended,College,1/13/11,Employed,M,40269.0,Urban,Married,81.0,,71.0,2.0,,Personal Auto,,Offer2,Agent,329.980754,Four-Door Car,
2959,WJ52097,Oregon,3663.740198,No,,Bachelor,1/4/11,Employed,F,61894.0,Suburban,Divorced,91.0,3.0,21.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Web,436.8,Four-Door Car,Medsize
2960,FT65961,,4962.208409,No,Basic,College,2/2/11,Employed,F,,Suburban,Married,63.0,3.0,35.0,,4.0,Corporate Auto,Corporate L3,Offer3,Branch,339.906034,Four-Door Car,Small
2961,DP87594,Oregon,2816.758764,No,Basic,Bachelor,,Employed,F,66023.0,Urban,Married,70.0,,94.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,,Two-Door Car,Medsize
2962,KP96020,Arizona,4330.769101,No,Basic,Bachelor,2/27/11,Employed,F,,Urban,Married,107.0,3.0,46.0,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,416.8496,Sports Car,
2963,HQ15974,Nevada,8262.879764,No,Extended,College,2/13/11,Unemployed,F,,Rural,,76.0,4.0,,1.0,2.0,Personal Auto,Personal L2,Offer1,Agent,32.508635,Four-Door Car,Medsize
2964,VE98553,Oregon,4666.643522,No,Premium,Bachelor,2/28/11,Employed,M,60466.0,Suburban,Married,117.0,14.0,3.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,784.186389,Four-Door Car,Large
2965,ME44353,Oregon,5876.054314,No,Basic,College,2/9/11,,F,32848.0,Urban,,74.0,2.0,59.0,0.0,5.0,Personal Auto,,Offer3,Call Center,250.454012,Four-Door Car,Medsize
2966,AE62631,Oregon,,No,Basic,,2/28/11,Employed,M,20662.0,Suburban,Married,72.0,10.0,99.0,0.0,2.0,Personal Auto,Personal L1,Offer4,Agent,373.324673,,Medsize
2967,,Arizona,13023.9329,No,Premium,High School or Below,1/24/11,Employed,F,64985.0,Rural,,108.0,23.0,94.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,16.425514,Two-Door Car,Small
2968,LY69932,Oregon,8209.59982,No,Basic,High School or Below,2/11/11,Employed,M,68022.0,Suburban,Married,103.0,3.0,26.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Web,494.4,Sports Car,Small
2969,YY74036,California,2464.238061,No,Basic,College,2/20/11,Employed,M,72834.0,Rural,Divorced,65.0,,81.0,3.0,1.0,Corporate Auto,Corporate L3,Offer1,Call Center,91.941259,Four-Door Car,Medsize
2970,DP92488,Washington,2727.520769,No,Basic,Doctor,1/14/11,Employed,F,74592.0,Suburban,Married,67.0,9.0,30.0,0.0,1.0,Personal Auto,Personal L1,Offer4,Agent,321.6,Two-Door Car,
2971,,,3086.013544,No,Extended,College,,Employed,F,73938.0,Rural,Married,,34.0,48.0,0.0,1.0,,Personal L3,Offer4,Call Center,53.095599,Two-Door Car,Medsize
2972,GT97121,California,22067.728,No,Extended,,2/18/11,Disabled,M,15999.0,Suburban,Married,83.0,2.0,43.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,398.4,Four-Door Car,
2973,VF83291,Oregon,4836.054291,No,Basic,,1/13/11,Unemployed,F,0.0,Suburban,Single,69.0,12.0,89.0,0.0,8.0,Personal Auto,,Offer1,,632.081402,Four-Door Car,Small
2974,OU76593,Oregon,6912.03963,No,Extended,College,1/21/11,Unemployed,M,0.0,Suburban,Married,96.0,11.0,55.0,0.0,5.0,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Medsize
2975,HO40387,California,2570.761765,No,Basic,Master,1/1/11,Unemployed,M,0.0,Suburban,,,0.0,93.0,3.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,345.6,Two-Door Car,Small
2976,GR37045,Nevada,2991.696011,No,Extended,,2/6/11,Unemployed,F,0.0,Suburban,Single,,9.0,96.0,0.0,1.0,Corporate Auto,Corporate L2,,Web,576.0,Four-Door Car,Small
2977,KZ84621,Nevada,8253.266591,No,Basic,High School or Below,1/31/11,,F,62375.0,Urban,Married,103.0,35.0,71.0,1.0,3.0,Personal Auto,Personal L3,Offer4,Web,411.228571,SUV,Small
2978,FR82361,Arizona,10477.77713,No,Extended,Doctor,1/23/11,Employed,M,61427.0,Suburban,Single,88.0,24.0,12.0,0.0,2.0,Personal Auto,Personal L3,Offer1,,422.4,Four-Door Car,Large
2979,UM14883,California,16373.7273,No,,High School or Below,2/5/11,Employed,M,64396.0,Urban,Married,103.0,2.0,,0.0,2.0,Special Auto,Special L1,Offer4,Agent,355.409311,SUV,Medsize
2980,UX32931,California,5184.94945,No,Basic,College,1/16/11,Employed,F,49312.0,,Married,65.0,30.0,55.0,1.0,4.0,Corporate Auto,Corporate L1,Offer1,,230.104769,Four-Door Car,Medsize
2981,QA68548,California,10634.83711,No,Basic,,2/8/11,Unemployed,F,0.0,Suburban,Single,61.0,35.0,71.0,0.0,2.0,Personal Auto,Personal L3,Offer2,,,Two-Door Car,Medsize
2982,QV40364,California,15114.40241,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513.0,Suburban,,100.0,4.0,22.0,1.0,2.0,,Personal L1,Offer2,Call Center,480.0,,Medsize
2983,TY87896,California,11875.89915,No,Basic,High School or Below,1/23/11,Unemployed,M,0.0,Suburban,Married,108.0,23.0,55.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,518.4,SUV,
2984,CV75841,California,4369.496687,No,Premium,College,1/25/11,Employed,,97321.0,Rural,Single,110.0,35.0,46.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,74.744643,Four-Door Car,Medsize
2985,YO62357,California,7432.856752,No,Basic,College,1/15/11,Employed,F,58839.0,Rural,Single,65.0,4.0,65.0,3.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,18.965718,Two-Door Car,Medsize
2986,YN19139,Nevada,,No,Basic,High School or Below,1/11/11,Unemployed,M,0.0,Suburban,Single,72.0,,14.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,
2987,PE63707,Nevada,5452.171237,No,,Bachelor,,Employed,M,88567.0,Suburban,Married,67.0,,89.0,0.0,9.0,Personal Auto,Personal L2,Offer1,Web,321.6,Four-Door Car,Medsize
2988,NS74173,Nevada,2968.077571,No,Basic,College,2/21/11,Employed,M,91646.0,Rural,Married,74.0,12.0,10.0,0.0,1.0,Corporate Auto,,Offer2,Branch,57.678779,Two-Door Car,Medsize
2989,ZI73222,California,15700.28436,No,Extended,High School or Below,2/1/11,Unemployed,M,0.0,Suburban,Married,211.0,31.0,52.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Web,1012.8,Luxury SUV,Medsize
2990,AC24378,Arizona,,No,Extended,High School or Below,1/19/11,Employed,F,48552.0,Urban,Married,94.0,5.0,54.0,0.0,,Corporate Auto,Corporate L3,Offer4,,262.746281,Four-Door Car,Medsize
2991,XR71687,Oregon,9407.452895,No,Basic,Bachelor,1/7/11,Employed,M,31485.0,Rural,Married,118.0,17.0,79.0,,6.0,Personal Auto,Personal L2,Offer2,Agent,294.905685,SUV,Medsize
2992,GJ70481,Arizona,4428.038374,,Basic,High School or Below,1/3/11,Unemployed,M,0.0,Suburban,Single,64.0,6.0,47.0,0.0,8.0,Personal Auto,Personal L3,Offer3,Agent,628.801638,Four-Door Car,Small
2993,JI94264,Arizona,10053.55227,No,Extended,College,,Disabled,,,Suburban,Single,135.0,35.0,4.0,0.0,,Personal Auto,Personal L3,Offer2,Agent,972.0,SUV,Large
2994,YI95434,California,2907.898828,No,Basic,College,2/17/11,Employed,F,51020.0,Suburban,Divorced,73.0,16.0,88.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Medsize
2995,RL34830,California,7644.763153,No,Extended,College,1/31/11,Employed,M,43838.0,,Married,97.0,11.0,37.0,0.0,7.0,Corporate Auto,Corporate L2,Offer2,Web,465.6,Four-Door Car,Medsize
2996,CA96568,Oregon,9709.746073,No,Extended,College,,Unemployed,M,0.0,Suburban,Married,133.0,11.0,30.0,,7.0,Corporate Auto,Corporate L3,Offer1,Agent,827.085431,SUV,Small
2997,UO16539,Washington,8439.615236,No,Basic,Bachelor,1/26/11,Employed,M,22454.0,Suburban,Single,110.0,5.0,75.0,2.0,3.0,Personal Auto,Personal L3,Offer2,Agent,556.097027,SUV,
2998,NP18074,Arizona,4209.682602,No,Basic,Bachelor,2/24/11,Employed,F,57933.0,Suburban,Married,105.0,10.0,64.0,0.0,,Personal Auto,Personal L3,Offer1,Call Center,533.255723,SUV,Small
2999,,Nevada,8556.418397,No,Extended,,1/9/11,Unemployed,M,0.0,Suburban,Married,124.0,7.0,2.0,3.0,6.0,Personal Auto,Personal L3,Offer1,Branch,595.2,SUV,Small
3000,CM66204,Arizona,26770.44534,No,Basic,,1/23/11,,F,26335.0,Urban,Married,113.0,32.0,7.0,1.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large
3001,DX80961,Arizona,16265.58682,No,Extended,Bachelor,1/19/11,Employed,F,85322.0,Suburban,Married,134.0,32.0,55.0,0.0,2.0,Personal Auto,,Offer1,Agent,735.491986,,
3002,JZ15681,California,3624.901612,No,Extended,High School or Below,1/10/11,Employed,M,37843.0,,Divorced,92.0,2.0,17.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,354.455466,Four-Door Car,Medsize
3003,ZZ31825,Oregon,2519.918897,No,Basic,Bachelor,1/25/11,,,0.0,Suburban,,67.0,11.0,26.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Branch,482.4,Four-Door Car,Medsize
3004,TF77410,Arizona,4819.183706,No,,College,2/2/11,Employed,M,74730.0,Suburban,Single,61.0,18.0,,0.0,6.0,Personal Auto,Personal L3,Offer2,Branch,421.235276,Four-Door Car,Small
3005,HI16452,Oregon,3028.780121,No,Extended,High School or Below,2/1/11,Unemployed,M,0.0,Suburban,Single,94.0,27.0,52.0,1.0,1.0,Special Auto,,Offer1,Branch,483.881752,,Medsize
3006,CW98845,Oregon,2316.796105,,Basic,Bachelor,2/24/11,Unemployed,M,0.0,,Married,64.0,2.0,80.0,0.0,1.0,Personal Auto,Personal L2,Offer4,Branch,307.2,Four-Door Car,Medsize
3007,NI99807,Oregon,13869.92705,Yes,Basic,College,1/21/11,Employed,M,28432.0,Suburban,,118.0,1.0,59.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,612.300581,SUV,Small
3008,QL45827,Washington,25807.063,Yes,Extended,College,2/13/11,Employed,F,71210.0,Suburban,Married,214.0,8.0,89.0,1.0,2.0,Personal Auto,Personal L1,Offer1,Branch,1027.2,Luxury Car,Small
3009,GU60969,Arizona,2342.01381,No,Basic,Bachelor,1/2/11,Retired,M,19581.0,Suburban,Single,,2.0,94.0,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,321.6,Four-Door Car,Large
3010,FS67103,Oregon,,No,Extended,Bachelor,,Unemployed,M,0.0,Suburban,Single,80.0,12.0,14.0,0.0,1.0,Special Auto,Special L2,Offer3,Web,576.0,Two-Door Car,Medsize
3011,FQ24929,Oregon,5479.555081,Yes,Basic,Master,1/13/11,Employed,,,Suburban,Married,68.0,,30.0,1.0,3.0,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Small
3012,YA12007,California,9199.539814,No,Extended,College,1/11/11,Unemployed,F,0.0,Suburban,Divorced,80.0,10.0,11.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Branch,572.847549,,Medsize
3013,EW46828,Arizona,8060.161694,No,,High School or Below,1/3/11,Employed,M,23671.0,Suburban,Divorced,69.0,32.0,45.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,331.2,,Medsize
3014,YP67379,Arizona,6686.128629,No,Extended,High School or Below,2/4/11,Employed,M,22244.0,Rural,Married,84.0,6.0,59.0,0.0,9.0,Personal Auto,Personal L3,Offer3,Web,114.815893,Four-Door Car,Medsize
3015,KH16079,Washington,,No,,High School or Below,,Unemployed,F,0.0,Suburban,Single,66.0,17.0,,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,
3016,SJ87277,Arizona,2685.425957,No,Basic,High School or Below,1/8/11,Employed,M,75329.0,Rural,Married,67.0,15.0,17.0,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Branch,45.905292,Four-Door Car,Large
3017,,Arizona,,No,Premium,High School or Below,,Unemployed,F,0.0,Suburban,Married,108.0,2.0,55.0,,1.0,Personal Auto,Personal L3,Offer3,Branch,525.392239,Two-Door Car,
3018,,California,,,Basic,,1/10/11,,F,44369.0,Urban,Married,68.0,13.0,22.0,0.0,8.0,Personal Auto,Personal L3,Offer4,Call Center,185.291566,,Medsize
3019,KO95143,California,8521.738901,No,Premium,High School or Below,2/21/11,Employed,M,37910.0,Suburban,Married,,7.0,9.0,0.0,7.0,Personal Auto,Personal L3,,Agent,518.4,Four-Door Car,Medsize
3020,GT66241,California,2414.072446,No,,High School or Below,1/8/11,Unemployed,M,0.0,,Single,71.0,,,0.0,1.0,,Personal L3,Offer2,Call Center,511.2,Four-Door Car,Medsize
3021,PP97061,,4282.947971,Yes,Basic,College,2/26/11,Employed,F,40864.0,Rural,,109.0,16.0,70.0,1.0,1.0,Personal Auto,Personal L3,,,166.937747,,Medsize
3022,KP97208,,5918.330563,No,Basic,College,2/4/11,Employed,F,94846.0,Urban,Married,73.0,15.0,68.0,0.0,7.0,Corporate Auto,,Offer1,Agent,305.031114,,Medsize
3023,SB24397,California,7519.133631,Yes,Extended,High School or Below,2/20/11,Employed,M,96306.0,Rural,Divorced,95.0,12.0,,1.0,6.0,Personal Auto,Personal L3,Offer1,Agent,185.355353,Four-Door Car,Medsize
3024,EM32982,Arizona,4472.334422,No,Basic,Doctor,1/26/11,Employed,F,53519.0,Urban,Married,111.0,7.0,,0.0,,Corporate Auto,Corporate L2,Offer4,Call Center,,SUV,Medsize
3025,,Arizona,,No,Basic,Bachelor,1/21/11,Employed,M,50648.0,Suburban,,69.0,27.0,50.0,1.0,9.0,,Personal L3,Offer1,Call Center,331.2,,
3026,RR37715,,8435.176463,,,,2/17/11,Employed,M,64692.0,Suburban,Married,70.0,17.0,80.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,336.0,Two-Door Car,Small
3027,TC81636,Arizona,10196.1106,No,Basic,High School or Below,1/7/11,Unemployed,M,0.0,Suburban,Single,100.0,9.0,75.0,0.0,2.0,Corporate Auto,Corporate L3,Offer4,Web,720.0,SUV,Medsize
3028,IC55961,Arizona,20552.62128,No,Basic,,1/26/11,Unemployed,F,0.0,Suburban,Single,187.0,22.0,,1.0,2.0,Corporate Auto,Corporate L2,,Agent,1430.336183,Luxury SUV,Medsize
3029,HR48520,Oregon,3915.798108,,,Bachelor,1/24/11,Unemployed,,0.0,Suburban,Single,109.0,2.0,86.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,784.8,SUV,Large
3030,VI42566,Oregon,6010.502178,No,,Master,1/11/11,Employed,M,49311.0,Suburban,Married,74.0,25.0,85.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,
3031,NU84299,Arizona,2854.114491,No,Basic,High School or Below,1/22/11,Employed,,71126.0,Urban,Married,71.0,,72.0,0.0,1.0,,Personal L1,Offer4,,324.739746,,Medsize
3032,RT63209,California,5994.255419,No,,Master,2/11/11,Employed,F,74284.0,Urban,Married,,27.0,5.0,0.0,3.0,Personal Auto,Personal L3,Offer3,Call Center,268.130863,Four-Door Car,Medsize
3033,,Oregon,4477.45201,No,Basic,Bachelor,1/4/11,Employed,F,41402.0,Suburban,Divorced,119.0,26.0,26.0,4.0,1.0,Personal Auto,Personal L2,Offer2,Branch,571.2,Sports Car,Medsize
3034,UO40192,Nevada,5544.909083,No,Basic,High School or Below,2/5/11,Employed,M,79619.0,Urban,Married,71.0,3.0,34.0,3.0,6.0,Personal Auto,Personal L3,Offer2,Web,280.89705,Four-Door Car,Large
3035,,Nevada,3600.934326,Yes,Basic,High School or Below,2/25/11,Retired,F,25147.0,Suburban,Single,101.0,7.0,54.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,694.598288,SUV,Medsize
3036,EW35231,Oregon,9934.865795,,Extended,High School or Below,2/27/11,Employed,F,56379.0,Suburban,Married,125.0,0.0,59.0,1.0,8.0,Corporate Auto,Corporate L2,,Agent,600.0,SUV,Medsize
3037,CT18212,California,6874.84827,No,Extended,Bachelor,2/17/11,Unemployed,F,,Suburban,Single,,35.0,27.0,,6.0,Personal Auto,Personal L2,,Agent,,,Medsize
3038,YL91587,Arizona,2374.147419,No,Basic,High School or Below,2/6/11,Employed,M,48911.0,Suburban,,61.0,15.0,,0.0,1.0,Personal Auto,Personal L2,Offer3,Call Center,292.8,,Large
3039,HS14476,Washington,9162.063169,No,Extended,College,2/23/11,Medical Leave,M,29723.0,Rural,,80.0,,79.0,0.0,2.0,Personal Auto,Personal L2,Offer1,,20.985105,Four-Door Car,Medsize
3040,,Arizona,7380.086414,No,Extended,Master,,Employed,F,21841.0,Suburban,Married,91.0,33.0,47.0,0.0,7.0,Corporate Auto,Corporate L3,Offer2,Call Center,436.8,Four-Door Car,Medsize
3041,JO98946,Oregon,2655.996158,No,Basic,Bachelor,2/10/11,Employed,M,31796.0,Suburban,Divorced,68.0,27.0,16.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,377.442796,Four-Door Car,Medsize
3042,BA26944,,7591.109246,No,Basic,Bachelor,1/23/11,Unemployed,M,,Suburban,Married,105.0,0.0,16.0,0.0,,Corporate Auto,Corporate L3,Offer2,Agent,504.0,SUV,Small
3043,AR47849,Nevada,5015.009472,,Extended,Bachelor,2/3/11,Employed,F,48567.0,Suburban,Single,130.0,12.0,15.0,0.0,1.0,Personal Auto,Personal L1,Offer2,,,SUV,Medsize
3044,,Oregon,4603.975141,No,,College,1/12/11,Employed,M,66161.0,Urban,Single,118.0,19.0,,,1.0,Personal Auto,Personal L3,Offer2,Branch,457.593764,SUV,Medsize
3045,QO56662,,2551.226692,Yes,Basic,Master,1/19/11,Employed,M,79751.0,Suburban,Married,63.0,,67.0,,1.0,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small
3046,UF74084,Arizona,5641.35916,No,Basic,Bachelor,2/1/11,Employed,M,39469.0,Urban,Divorced,71.0,1.0,29.0,0.0,4.0,Personal Auto,Personal L3,Offer2,Call Center,315.560161,Two-Door Car,Large
3047,OX75108,Arizona,5463.913828,No,Basic,Master,1/28/11,,F,44305.0,Urban,Married,67.0,33.0,39.0,0.0,9.0,Personal Auto,Personal L1,Offer2,Call Center,214.772284,Four-Door Car,Medsize
3048,QG25195,Oregon,4866.647452,No,Basic,Bachelor,1/10/11,Unemployed,F,0.0,,,68.0,4.0,17.0,0.0,9.0,Personal Auto,Personal L3,Offer1,Agent,,Four-Door Car,Medsize
3049,HT50748,Oregon,2779.85389,No,Basic,Doctor,1/25/11,Employed,F,38893.0,Urban,Single,69.0,,60.0,0.0,1.0,Personal Auto,,Offer1,Branch,279.960213,Two-Door Car,Medsize
3050,HC42288,California,4563.018085,No,Basic,College,2/10/11,Employed,F,39187.0,Suburban,Divorced,118.0,32.0,43.0,1.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,566.4,SUV,Small
3051,,Arizona,14376.55039,No,Premium,College,2/26/11,Employed,M,,Rural,Married,179.0,11.0,43.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Branch,253.511935,SUV,Medsize
3052,GJ63345,Arizona,2279.747148,No,,Bachelor,2/12/11,Unemployed,F,0.0,Suburban,Single,,9.0,95.0,0.0,1.0,Personal Auto,,Offer1,Call Center,460.8,Four-Door Car,Medsize
